Te, Ne+0, Ne+1, Ne+2, Ne+3, Ne+4, Ne+5, Ne+6, Ne+7, Ne+8, Ne+9, Ne+10
1.0000e+00, 9.9997e-01, 2.8886e-05, 3.7552e-19, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.0798e+00, 9.9986e-01, 1.4030e-04, 3.6229e-17, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.1660e+00, 9.9935e-01, 6.4584e-04, 2.6534e-15, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.2590e+00, 9.9722e-01, 2.7818e-03, 1.4890e-13, 9.8914e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.3595e+00, 9.8897e-01, 1.1032e-02, 6.4415e-12, 1.4549e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.4680e+00, 9.6076e-01, 3.9245e-02, 2.1399e-10, 1.4166e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.5851e+00, 8.8058e-01, 1.1942e-01, 5.3157e-09, 9.0275e-25, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.7116e+00, 7.0903e-01, 2.9097e-01, 9.3274e-08, 3.5565e-22, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.8482e+00, 4.6556e-01, 5.3444e-01, 1.0910e-06, 8.1020e-20, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.9957e+00, 2.4931e-01, 7.5068e-01, 8.6477e-06, 1.0755e-17, 2.6173e-35, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.1550e+00, 1.1770e-01, 8.8225e-01, 5.0985e-05, 9.0597e-16, 7.1045e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.3269e+00, 5.3276e-02, 9.4648e-01, 2.4553e-04, 5.3085e-14, 9.9085e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.5126e+00, 2.4302e-02, 9.7467e-01, 1.0235e-03, 2.2917e-12, 7.8077e-26, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.7131e+00, 1.1412e-02, 9.8479e-01, 3.8031e-03, 7.5038e-11, 3.7152e-23, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.9296e+00, 5.5444e-03, 9.8169e-01, 1.2766e-02, 1.8877e-09, 1.1226e-20, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.1634e+00, 2.7654e-03, 9.5852e-01, 3.8711e-02, 3.6499e-08, 2.2331e-18, 3.6998e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.4159e+00, 1.3811e-03, 8.9459e-01, 1.0402e-01, 5.3653e-07, 2.9403e-16, 1.1920e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.6884e+00, 6.5904e-04, 7.6198e-01, 2.3736e-01, 5.8230e-06, 2.4992e-14, 1.9463e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.9828e+00, 2.8488e-04, 5.6185e-01, 4.3782e-01, 4.5021e-05, 1.3287e-12, 1.5830e-24, 5.2568e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.3006e+00, 1.0993e-04, 3.5363e-01, 6.4602e-01, 2.4869e-04, 4.4499e-11, 6.5518e-22, 5.4828e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.6438e+00, 3.9577e-05, 1.9866e-01, 8.0026e-01, 1.0440e-03, 1.0027e-09, 1.4952e-19, 4.9293e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.0144e+00, 1.4160e-05, 1.0617e-01, 8.9021e-01, 3.6110e-03, 1.6548e-08, 2.0776e-17, 6.6952e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.4145e+00, 5.2548e-06, 5.6406e-02, 9.3267e-01, 1.0918e-02, 2.1321e-07, 1.9010e-15, 2.0032e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.8466e+00, 2.0500e-06, 3.0330e-02, 9.4005e-01, 2.9618e-02, 2.2143e-06, 1.2007e-13, 1.0310e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
6.3132e+00, 8.3342e-07, 1.6445e-02, 9.1122e-01, 7.2312e-02, 1.8709e-05, 5.3650e-12, 6.0892e-22, 2.6862e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36
6.8170e+00, 3.4396e-07, 8.8030e-03, 8.3447e-01, 1.5660e-01, 1.2755e-04, 1.7080e-10, 2.7047e-19, 1.4553e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36
7.3610e+00, 1.3888e-07, 4.5054e-03, 7.0152e-01, 2.9328e-01, 6.8836e-04, 3.8578e-09, 6.0037e-17, 3.3281e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36
7.9484e+00, 5.3259e-08, 2.1484e-03, 5.2930e-01, 4.6565e-01, 2.9012e-03, 6.1588e-08, 6.0257e-15, 2.9246e-24, 2.7154e-35, 1.0000e-36, 1.0000e-36
8.5827e+00, 1.9335e-08, 9.5398e-04, 3.5938e-01, 6.3000e-01, 9.6606e-03, 7.0740e-07, 3.1146e-13, 1.1322e-21, 9.4539e-32, 1.0000e-36, 1.0000e-36
9.2676e+00, 6.7831e-09, 4.0383e-04, 2.2553e-01, 7.4773e-01, 2.6334e-02, 6.0946e-06, 9.7097e-12, 2.2769e-19, 1.4757e-28, 1.0000e-36, 1.0000e-36
1.0007e+01, 2.3549e-09, 1.6734e-04, 1.3475e-01, 8.0397e-01, 6.1076e-02, 4.1188e-05, 2.1447e-10, 2.8125e-17, 1.2264e-25, 1.0000e-36, 1.0000e-36
1.0806e+01, 8.1782e-10, 6.8796e-05, 7.7928e-02, 7.9818e-01, 1.2359e-01, 2.2524e-04, 3.7996e-09, 2.4336e-15, 6.2201e-23, 1.0000e-36, 1.0000e-36
1.1668e+01, 2.8322e-10, 2.8017e-05, 4.3663e-02, 7.3503e-01, 2.2026e-01, 1.0111e-03, 5.4800e-08, 1.5116e-13, 1.9913e-20, 1.0000e-36, 1.0000e-36
1.2599e+01, 9.6838e-11, 1.1207e-05, 2.3556e-02, 6.2631e-01, 3.4637e-01, 3.7508e-03, 6.3343e-07, 6.7047e-12, 4.0445e-18, 1.0000e-36, 1.0000e-36
1.3605e+01, 3.2434e-11, 4.3742e-06, 1.2185e-02, 4.9362e-01, 4.8258e-01, 1.1602e-02, 5.7895e-06, 2.1167e-10, 5.2484e-16, 1.0000e-36, 1.0000e-36
1.4690e+01, 1.0620e-11, 1.6652e-06, 6.0548e-03, 3.6187e-01, 6.0166e-01, 3.0368e-02, 4.1527e-05, 4.7693e-09, 4.4087e-14, 1.0000e-36, 1.0000e-36
1.5863e+01, 3.4025e-12, 6.1957e-07, 2.9027e-03, 2.4877e-01, 6.7967e-01, 6.8425e-02, 2.3307e-04, 7.7255e-08, 2.4387e-12, 1.0000e-36, 1.0000e-36
1.7128e+01, 1.0668e-12, 2.2543e-07, 1.3455e-03, 1.6137e-01, 7.0187e-01, 1.3437e-01, 1.0395e-03, 9.2124e-07, 9.1557e-11, 1.0000e-36, 1.0000e-36
1.8495e+01, 3.2626e-13, 7.9931e-08, 6.0171e-04, 9.8950e-02, 6.6514e-01, 2.3154e-01, 3.7669e-03, 8.3316e-06, 2.4147e-09, 2.6695e-35, 1.0000e-36
1.9971e+01, 9.6799e-14, 2.7465e-08, 2.5849e-04, 5.7345e-02, 5.7939e-01, 3.5163e-01, 1.1319e-02, 5.8752e-05, 4.6206e-08, 3.6913e-32, 1.0000e-36
2.1565e+01, 2.7788e-14, 9.1195e-09, 1.0649e-04, 3.1463e-02, 4.6560e-01, 4.7372e-01, 2.8779e-02, 3.3186e-04, 6.6201e-07, 2.8158e-29, 1.0000e-36
2.3286e+01, 7.7480e-15, 2.9369e-09, 4.2256e-05, 1.6422e-02, 3.4752e-01, 5.7165e-01, 6.2824e-02, 1.5292e-03, 7.2666e-06, 1.2530e-26, 1.0000e-36
2.5144e+01, 2.1090e-15, 9.2181e-10, 1.6239e-05, 8.1950e-03, 2.4263e-01, 6.2404e-01, 1.1923e-01, 5.8374e-03, 6.2341e-05, 3.3944e-24, 1.0000e-36
2.7151e+01, 5.6086e-16, 2.8216e-10, 6.0514e-06, 3.9134e-03, 1.5889e-01, 6.1976e-01, 1.9834e-01, 1.8665e-02, 4.2465e-04, 5.8180e-22, 1.0000e-36
2.9317e+01, 1.4478e-16, 8.3665e-11, 2.1733e-06, 1.7768e-03, 9.7162e-02, 5.5906e-01, 2.8949e-01, 5.0185e-02, 2.3163e-03, 6.5095e-20, 1.0000e-36
3.1657e+01, 3.5736e-17, 2.3670e-11, 7.4132e-07, 7.5563e-04, 5.4767e-02, 4.5345e-01, 3.6798e-01, 1.1293e-01, 1.0115e-02, 4.8594e-18, 8.2831e-36
3.4183e+01, 8.2443e-18, 6.2458e-12, 2.3485e-07, 2.9467e-04, 2.7894e-02, 3.2488e-01, 4.0165e-01, 2.1021e-01, 3.5067e-02, 2.4343e-16, 9.1955e-33
3.6911e+01, 1.7343e-18, 1.4999e-12, 6.7438e-08, 1.0303e-04, 1.2567e-02, 2.0164e-01, 3.7078e-01, 3.1944e-01, 9.5475e-02, 8.1738e-15, 4.7898e-30
3.9857e+01, 3.2805e-19, 3.2328e-13, 1.7315e-08, 3.1923e-05, 4.9544e-03, 1.0745e-01, 2.8817e-01, 3.9528e-01, 2.0412e-01, 1.8571e-13, 1.2637e-27
4.3037e+01, 5.6251e-20, 6.3066e-14, 4.0091e-09, 8.8568e-06, 1.7292e-03, 4.9824e-02, 1.9191e-01, 4.0622e-01, 3.5031e-01, 2.9466e-12, 1.8639e-25
4.6472e+01, 9.0014e-21, 1.1465e-14, 8.6207e-10, 2.2703e-06, 5.5189e-04, 2.0802e-02, 1.1381e-01, 3.6103e-01, 5.0381e-01, 3.4411e-11, 1.7321e-23
5.0180e+01, 1.3929e-21, 2.0130e-15, 1.7845e-10, 5.5839e-07, 1.6745e-04, 8.1449e-03, 6.2868e-02, 2.9087e-01, 6.3795e-01, 3.1376e-10, 1.1505e-21
5.4184e+01, 2.1526e-22, 3.5253e-16, 3.6730e-11, 1.3632e-07, 5.0017e-05, 3.1019e-03, 3.3609e-02, 2.2116e-01, 7.4208e-01, 2.3480e-09, 6.0361e-20
5.8508e+01, 3.4363e-23, 6.3649e-17, 7.7697e-12, 3.4130e-08, 1.5206e-05, 1.1893e-03, 1.7860e-02, 1.6336e-01, 8.1757e-01, 1.4868e-08, 2.5532e-18
6.3177e+01, 5.8171e-24, 1.2152e-17, 1.7323e-12, 8.9825e-09, 4.8256e-06, 4.7119e-04, 9.5909e-03, 1.1945e-01, 8.7049e-01, 8.1156e-08, 8.6640e-17
6.8219e+01, 1.0641e-24, 2.4977e-18, 4.1444e-13, 2.5283e-09, 1.6274e-06, 1.9657e-04, 5.2521e-03, 8.7436e-02, 9.0711e-01, 3.8610e-07, 2.3298e-15
7.3663e+01, 2.1306e-25, 5.5951e-19, 1.0769e-13, 7.6991e-10, 5.9034e-07, 8.7478e-05, 2.9457e-03, 6.4496e-02, 9.3247e-01, 1.6118e-06, 4.8899e-14
7.9541e+01, 4.6632e-26, 1.3649e-19, 3.0370e-14, 2.5341e-10, 2.3022e-07, 4.1533e-05, 1.6976e-03, 4.8169e-02, 9.5009e-01, 5.9632e-06, 8.0618e-13
8.5889e+01, 1.1035e-26, 3.5926e-20, 9.2124e-15, 8.9334e-11, 9.5683e-08, 2.0865e-05, 1.0079e-03, 3.6562e-02, 9.6239e-01, 1.9791e-05, 1.0660e-11
9.2743e+01, 2.7897e-27, 1.0099e-20, 2.9750e-15, 3.3386e-11, 4.1962e-08, 1.0988e-05, 6.1746e-04, 2.8281e-02, 9.7103e-01, 5.9586e-05, 1.1532e-10
1.0014e+02, 7.4384e-28, 2.9981e-21, 1.0117e-15, 1.3083e-11, 1.9213e-08, 6.0041e-06, 3.9071e-04, 2.2337e-02, 9.7710e-01, 1.6446e-04, 1.0407e-09
1.0814e+02, 2.0702e-28, 9.3110e-22, 3.5891e-16, 5.3254e-12, 9.1015e-09, 3.3754e-06, 2.5543e-04, 1.8039e-02, 9.8128e-01, 4.1998e-04, 7.9774e-09
1.1676e+02, 6.0139e-29, 3.0183e-22, 1.3253e-16, 2.2478e-12, 4.4540e-09, 1.9501e-06, 1.7250e-04, 1.4896e-02, 9.8393e-01, 9.9864e-04, 5.2733e-08
1.2608e+02, 1.8274e-29, 1.0206e-22, 5.0898e-17, 9.8370e-13, 2.2516e-09, 1.1582e-06, 1.2025e-04, 1.2573e-02, 9.8508e-01, 2.2228e-03, 3.0491e-07
1.3614e+02, 5.8193e-30, 3.5958e-23, 2.0309e-17, 4.4609e-13, 1.1754e-09, 7.0719e-07, 8.6443e-05, 1.0839e-02, 9.8442e-01, 4.6544e-03, 1.5636e-06
1.4701e+02, 1.9447e-30, 1.3180e-23, 8.4065e-18, 2.0942e-13, 6.3315e-10, 4.4373e-07, 6.3985e-05, 9.5318e-03, 9.8119e-01, 9.2093e-03, 7.2067e-06
1.5874e+02, 6.8187e-31, 5.0147e-24, 3.6012e-18, 1.0160e-13, 3.5134e-10, 2.8577e-07, 4.8662e-05, 8.5334e-03, 9.7410e-01, 1.7283e-02, 3.0212e-05
1.7141e+02, 2.4846e-31, 1.9699e-24, 1.5883e-18, 5.0700e-14, 1.9998e-10, 1.8815e-07, 3.7869e-05, 7.7456e-03, 9.6130e-01, 3.0799e-02, 1.1551e-04
1.8509e+02, 9.2662e-32, 7.9326e-25, 7.1623e-19, 2.5856e-14, 1.1603e-10, 1.2591e-07, 2.9988e-05, 7.0879e-03, 9.4039e-01, 5.2090e-02, 4.0180e-04
1.9986e+02, 3.4811e-32, 3.2483e-25, 3.2763e-19, 1.3378e-14, 6.8145e-11, 8.5076e-08, 2.4013e-05, 6.4972e-03, 9.0871e-01, 8.3503e-02, 1.2672e-03
2.1581e+02, 1.2986e-32, 1.3420e-25, 1.5086e-19, 6.9716e-15, 4.0232e-11, 5.7658e-08, 1.9311e-05, 5.9246e-03, 8.6380e-01, 1.2665e-01, 3.6129e-03
2.3303e+02, 4.7859e-33, 5.5638e-26, 6.9555e-20, 3.6392e-15, 2.3748e-11, 3.8986e-08, 1.5475e-05, 5.3352e-03, 8.0395e-01, 1.8138e-01, 9.3139e-03
2.5162e+02, 1.7370e-33, 2.3031e-26, 3.1946e-20, 1.8928e-15, 1.3942e-11, 2.6163e-08, 1.2256e-05, 4.7083e-03, 7.2881e-01, 2.4474e-01, 2.1729e-02
2.7170e+02, 6.1857e-34, 9.4649e-27, 1.4535e-20, 9.7514e-16, 8.0934e-12, 1.7324e-08, 9.5090e-06, 4.0383e-03, 6.3984e-01, 3.1023e-01, 4.5885e-02
2.9338e+02, 2.1527e-34, 3.8390e-27, 6.5125e-21, 4.9457e-16, 4.6173e-12, 1.1249e-08, 7.1615e-06, 3.3376e-03, 5.4069e-01, 3.6826e-01, 8.7700e-02
3.1680e+02, 7.2922e-35, 1.5278e-27, 2.8567e-21, 2.4543e-16, 2.5732e-12, 7.1207e-09, 5.1909e-06, 2.6370e-03, 4.3734e-01, 4.0826e-01, 1.5176e-01
3.4208e+02, 2.3912e-35, 5.9231e-28, 1.2182e-21, 1.1832e-16, 1.3909e-12, 4.3626e-09, 3.6029e-06, 1.9834e-03, 3.3755e-01, 4.2237e-01, 2.3809e-01
3.6938e+02, 7.5634e-36, 2.2259e-28, 5.0262e-22, 5.5143e-17, 7.2575e-13, 2.5749e-09, 2.3945e-06, 1.4219e-03, 2.4892e-01, 4.0923e-01, 3.4043e-01
3.9885e+02, 2.3109e-36, 8.1078e-29, 2.0070e-22, 2.4847e-17, 3.6561e-13, 1.4643e-09, 1.5314e-06, 9.7736e-04, 1.7649e-01, 3.7446e-01, 4.4807e-01
4.3068e+02, 1.0000e-36, 2.8726e-29, 7.7846e-23, 1.0863e-17, 1.7849e-13, 8.0542e-10, 9.5051e-07, 6.5041e-04, 1.2151e-01, 3.2750e-01, 5.5034e-01
4.6505e+02, 1.0000e-36, 9.9448e-30, 2.9472e-23, 4.6297e-18, 8.4838e-14, 4.3051e-10, 5.7802e-07, 4.2353e-04, 8.2115e-02, 2.7735e-01, 6.4011e-01
5.0216e+02, 1.0000e-36, 3.3753e-30, 1.0930e-23, 1.9301e-18, 3.9403e-14, 2.2443e-10, 3.4728e-07, 2.7243e-04, 5.5000e-02, 2.3014e-01, 7.1458e-01
5.4223e+02, 1.0000e-36, 1.1276e-30, 3.9856e-24, 7.8999e-19, 1.7949e-14, 1.1455e-10, 2.0746e-07, 1.7438e-04, 3.6785e-02, 1.8889e-01, 7.7415e-01
5.8550e+02, 1.0000e-36, 3.7533e-31, 1.4440e-24, 3.2075e-19, 8.1022e-15, 5.7849e-11, 1.2391e-07, 1.1170e-04, 2.4707e-02, 1.5443e-01, 8.2075e-01
6.3223e+02, 1.0000e-36, 1.2599e-31, 5.2513e-25, 1.3048e-19, 3.6604e-15, 2.9202e-11, 7.4275e-08, 7.1876e-05, 1.6726e-02, 1.2636e-01, 8.5684e-01
6.8268e+02, 1.0000e-36, 4.3094e-32, 1.9328e-25, 5.3625e-20, 1.6688e-15, 1.4862e-11, 4.4765e-08, 4.6549e-05, 1.1434e-02, 1.0380e-01, 8.8472e-01
7.3716e+02, 1.0000e-36, 1.5174e-32, 7.2617e-26, 2.2454e-20, 7.7424e-16, 7.6915e-12, 2.7145e-08, 3.0362e-05, 7.8972e-03, 8.5748e-02, 9.0632e-01
7.9599e+02, 1.0000e-36, 5.6179e-33, 2.8544e-26, 9.8222e-21, 3.7483e-16, 4.1512e-12, 1.6561e-08, 1.9945e-05, 5.5137e-03, 7.1310e-02, 9.2316e-01
8.5951e+02, 1.0000e-36, 2.2499e-33, 1.2155e-26, 4.6509e-21, 1.9623e-16, 2.4213e-12, 1.0160e-08, 1.3189e-05, 3.8922e-03, 5.9724e-02, 9.3637e-01
9.2810e+02, 1.0000e-36, 1.0023e-33, 5.8047e-27, 2.4696e-21, 1.1509e-16, 1.5813e-12, 6.2615e-09, 8.7706e-06, 2.7776e-03, 5.0376e-02, 9.4684e-01
1.0022e+03, 1.0000e-36, 5.1072e-34, 3.2174e-27, 1.5230e-21, 7.8335e-17, 1.1976e-12, 3.8717e-09, 5.8584e-06, 2.0028e-03, 4.2780e-02, 9.5521e-01
1.0821e+03, 1.0000e-36, 2.9528e-34, 2.0628e-27, 1.0873e-21, 6.1679e-17, 1.0486e-12, 2.4003e-09, 3.9278e-06, 1.4583e-03, 3.6562e-02, 9.6198e-01
1.1685e+03, 1.0000e-36, 1.6835e-34, 1.3251e-27, 7.7701e-22, 4.8581e-17, 9.1788e-13, 1.4954e-09, 2.6488e-06, 1.0720e-03, 3.1440e-02, 9.6749e-01
1.2617e+03, 1.0000e-36, 7.9741e-35, 7.1470e-28, 4.6475e-22, 3.2014e-17, 6.7183e-13, 9.3882e-10, 1.8014e-06, 7.9534e-04, 2.7195e-02, 9.7201e-01
1.3624e+03, 1.0000e-36, 2.6432e-35, 2.7125e-28, 1.9455e-22, 1.4761e-17, 3.4386e-13, 5.9563e-10, 1.2388e-06, 5.9535e-04, 2.3656e-02, 9.7575e-01
1.4711e+03, 1.0000e-36, 5.1651e-36, 6.0702e-29, 4.7656e-23, 3.9820e-18, 1.0292e-13, 3.8293e-10, 8.6354e-07, 4.4945e-04, 2.0686e-02, 9.7886e-01
1.5885e+03, 1.0000e-36, 1.0000e-36, 7.0171e-30, 5.9747e-24, 5.4979e-19, 1.5759e-14, 2.5003e-10, 6.1149e-07, 3.4205e-04, 1.8176e-02, 9.8148e-01
1.7153e+03, 1.0000e-36, 1.0000e-36, 5.4670e-31, 5.0243e-25, 5.0907e-20, 1.6175e-15, 1.6557e-10, 4.3926e-07, 2.6226e-04, 1.6043e-02, 9.8369e-01
1.8522e+03, 1.0000e-36, 1.0000e-36, 4.6217e-32, 4.5971e-26, 5.1262e-21, 1.8052e-16, 1.1081e-10, 3.1907e-07, 2.0245e-04, 1.4219e-02, 9.8558e-01
2.0000e+03, 1.0000e-36, 1.0000e-36, 6.8386e-33, 7.4387e-27, 9.1210e-22, 3.5594e-17, 7.4688e-11, 2.3361e-07, 1.5723e-04, 1.2650e-02, 9.8719e-01
